-0.061734,-0.0027733,0.00061523,149.03,2.6481e-05,0.3,2.765e-07
-0.06024,-0.0040131,-0.0016925,148.45,1.744e-05,0.29995,0.021
-0.055893,0.00014877,-0.0017202,148.4,1.0375e-05,0.29982,0.041995
-0.062739,-0.0022074,-0.0029271,149.98,4.9498e-06,0.2996,0.062982
-0.059728,-0.00014153,-0.0011189,149.55,8.5886e-07,0.29928,0.083957
-0.055808,-0.0024348,-0.00092514,149.71,-2.1711e-06,0.29888,0.10492
-0.061895,-0.0030894,-0.00049108,149.85,-4.385e-06,0.29838,0.12586
-0.056391,-0.0018489,0.00055389,149.18,-6.0017e-06,0.2978,0.14677
-0.059115,-5.8382e-05,-0.00065494,149.9,-7.2155e-06,0.29712,0.16766
-0.057379,0.00038235,0.0006385,150.78,-8.1986e-06,0.29636,0.18851
-0.061085,-0.0022137,-0.0018284,151.47,-9.1026e-06,0.29551,0.20933
-0.060352,-0.0039362,0.00010383,146.52,-1.0061e-05,0.29456,0.23011
-0.061132,0.0012459,-0.0022074,149.5,-1.1188e-05,0.29353,0.25085
-0.056518,-0.0033753,0.00035848,149.26,-1.2587e-05,0.29241,0.27153
-0.063039,0.00072126,-0.0026227,151.12,-1.4342e-05,0.2912,0.29217
-0.059976,0.001318,0.0033442,149.76,-1.6529e-05,0.28991,0.31275
-0.059073,-0.0014459,0.00051411,149,-1.9209e-05,0.28852,0.33327
-0.060599,0.0022182,0.00020512,150.45,-2.2437e-05,0.28705,0.35372
-0.058045,0.0025652,-0.0038412,149.85,-2.6256e-05,0.28549,0.37411
-0.056277,-0.0022828,-0.0025943,149.69,-3.0702e-05,0.28384,0.39443
-0.063159,-0.00059643,0.0012939,149.38,-3.5806e-05,0.2821,0.41467
-0.062456,0.00021276,-0.00083095,149.14,-4.1591e-05,0.28028,0.43483
-0.061601,-0.0030425,-0.0013094,148.26,-4.8076e-05,0.27837,0.45491
-0.058428,-0.00062614,-0.0016541,150.4,-5.5276e-05,0.27637,0.4749
-0.061563,-0.0025428,-0.0020206,150.28,-6.3203e-05,0.27429,0.4948
